Seed Keyword,Suggested Keyword,Search Intent,Wildcard / Query Pattern,Pattern Type,Search Depth,Parent Suggestion,Country (GL),Language (HL),Rank Position,Timestamp
"Heart symbols","=o= heart symbol","General","o Heart symbols","Alphabet Prefix (o)","Level 1","","IN","EN",1,"2026-09-16T09:53:37.245Z"
"Heart symbols","1000 heart symbols","General","Heart symbols 1","Number Suffix (1)","Level 1","","IN","EN",4,"2026-09-16T09:53:55.980Z"
"Heart symbols","1000 heart symbols copy and paste","General","Heart symbols 1","Number Suffix (1)","Level 1","","IN","EN",3,"2026-09-16T09:53:55.980Z"
"Heart symbols","2 hand heart symbol","General","Heart symbols 2","Number Suffix (2)","Level 1","","IN","EN",13,"2026-09-16T09:53:58.200Z"
"Heart symbols","2 heart symbol","General","2 Heart symbols","Number Prefix (2)","Level 1","","IN","EN",1,"2026-09-16T09:53:59.233Z"
"Heart symbols","2 heart symbol copy and paste","General","2 Heart symbols","Number Prefix (2)","Level 1","","IN","EN",7,"2026-09-16T09:53:59.233Z"
"Heart symbols","2 heart symbol meaning","Informational","Heart symbols 2","Number Suffix (2)","Level 1","","IN","EN",8,"2026-09-16T09:53:58.200Z"
"Heart symbols","2 heart symbol omron","General","2 Heart symbols","Number Prefix (2)","Level 1","","IN","EN",4,"2026-09-16T09:53:59.233Z"
"Heart symbols","2 heart symbol png","General","Heart symbols 2","Number Suffix (2)","Level 1","","IN","EN",14,"2026-09-16T09:53:58.200Z"
"Heart symbols","2 heart symbol text","General","Heart symbols 2","Number Suffix (2)","Level 1","","IN","EN",9,"2026-09-16T09:53:58.200Z"
"Heart symbols","3 heart symbol","General","3 Heart symbols","Number Prefix (3)","Level 1","","IN","EN",1,"2026-09-16T09:54:01.420Z"
"Heart symbols","3 heart symbol copy and paste","General","3 Heart symbols","Number Prefix (3)","Level 1","","IN","EN",2,"2026-09-16T09:54:01.420Z"
"Heart symbols","3 heart symbol emoji","General","3 Heart symbols","Number Prefix (3)","Level 1","","IN","EN",7,"2026-09-16T09:54:01.420Z"
"Heart symbols","3 heart symbol meaning","Informational","3 Heart symbols","Number Prefix (3)","Level 1","","IN","EN",3,"2026-09-16T09:54:01.420Z"
"Heart symbols","3 heart symbol omron","General","3 Heart symbols","Number Prefix (3)","Level 1","","IN","EN",6,"2026-09-16T09:54:01.420Z"
"Heart symbols","3 heart symbol on blood pressure monitor","General","3 Heart symbols","Number Prefix (3)","Level 1","","IN","EN",4,"2026-09-16T09:54:01.420Z"
"Heart symbols","3 heart symbols","General","w Heart symbols","Alphabet Prefix (w)","Level 1","","IN","EN",6,"2026-09-16T09:53:48.693Z"
"Heart symbols","4 heart symbol","General","4 Heart symbols","Number Prefix (4)","Level 1","","IN","EN",2,"2026-09-16T09:54:03.786Z"
"Heart symbols","4 heart symbol meaning","Informational","4 Heart symbols","Number Prefix (4)","Level 1","","IN","EN",1,"2026-09-16T09:54:03.786Z"
"Heart symbols","5 heart symbol","General","Heart symbols 5","Number Suffix (5)","Level 1","","IN","EN",2,"2026-09-16T09:54:04.807Z"
"Heart symbols","6 heart symbol","General","Heart symbols 6","Number Suffix (6)","Level 1","","IN","EN",1,"2026-09-16T09:54:07.675Z"
"Heart symbols","8 bit heart symbol","General","Heart symbols 8","Number Suffix (8)","Level 1","","IN","EN",2,"2026-09-16T09:54:13.455Z"
"Heart symbols","9 11 heart symbol flag","General","Heart symbols 1","Number Suffix (1)","Level 1","","IN","EN",6,"2026-09-16T09:53:55.980Z"
"Heart symbols","9 hearts meaning","Informational","9 Heart symbols","Number Prefix (9)","Level 1","","IN","EN",3,"2026-09-16T09:54:17.390Z"
